sku,name,category,brand,price
HOME-0019,Подставка для зонтов металлическая,Товары для дома,Ладный дом,158990
HOME-0020,Крючки самоклеящиеся 8 штук,Товары для дома,Домовит,29000
HOME-0021,Верёвка бельевая 20 м,Товары для дома,Домовит,19000
HOME-0022,Прищепки усиленные 24 штуки,Товары для дома,Домовит,24990
HOME-0023,Мешки вакуумные для одежды 5 штук,Товары для дома,Домовит,68999
HOME-0024,Органайзер подвесной с 12 карманами,Товары для дома,Ладный дом,79000
HOME-0025,Часы настенные круглые 30 см,Товары для дома,Ладный дом,88990
HOME-0026,Светильник настольный с прищепкой 7 Вт,Товары для дома,Ладный дом,119000
HOME-0027,Удлинитель бытовой 3 розетки 3 м,Товары для дома,Ладный дом,99000
HOME-0028,Лестница-стремянка 3 ступени,Товары для дома,Домовит,299000
HOME-0029,Ящик для инструментов 16 дюймов,Товары для дома,Домовит,138990
HOME-0030,Набор плечиков для брюк 6 штук,Товары для дома,Домовит,89000
TEXT-0005,Пододеяльник двуспальный 175×215,Текстиль,Сатин,169000
TEXT-0006,Простыня на резинке 160×200,Текстиль,Сатин,148990
TEXT-0007,Наволочки хлопковые 50×70 2 штуки,Текстиль,Сатин,79000
TEXT-0008,Одеяло всесезонное 172×205,Текстиль,Сатин,299000
TEXT-0009,Подушка стёганая 50×70,Текстиль,Сатин,128990
TEXT-0010,Наматрасник непромокаемый 160×200,Текстиль,Сатин,189000
TEXT-0011,Покрывало стёганое 180×210,Текстиль,Сатин,238999
TEXT-0012,Плед флисовый 150×200,Текстиль,Сатин,118990
TEXT-0013,Полотенце лицевое 50×90,Текстиль,Сатин,49000
TEXT-0014,Полотенца кухонные 40×60 3 штуки,Текстиль,Сатин,59000
TEXT-0015,Коврик для ванной хлопковый 50×80,Текстиль,Ладный дом,99000
TEXT-0016,Штора для ванной 180×200,Текстиль,Ладный дом,79000
TEXT-0017,Тюль вуаль 300×260,Текстиль,Ладный дом,199000
TEXT-0018,Шторы кухонные 150×170 2 полотна,Текстиль,Ладный дом,179000
TEXT-0019,Скатерть водоотталкивающая 140×180,Текстиль,Ладный дом,129000
TEXT-0020,Дорожка на стол хлопковая 40×140,Текстиль,Ладный дом,59000
TEXT-0021,Салфетки столовые льняные 4 штуки,Текстиль,Сатин,79000
TEXT-0022,Чехлы на табурет 35×35 4 штуки,Текстиль,Ладный дом,108990
TEXT-0023,Подушка декоративная 40×40,Текстиль,Сатин,68999
TEXT-0024,Чехол для диванной подушки 45×45,Текстиль,Сатин,39000
TEXT-0025,Фартук кухонный с карманом,Текстиль,Ладный дом,59000
TEXT-0026,Прихватки стёганые 20×20 2 штуки,Текстиль,Ладный дом,38990
TEXT-0027,Халат вафельный размер 48–50,Текстиль,Сатин,199000
TEXT-0028,Комплект полотенец 50×90 и 70×140,Текстиль,Сатин,138999
TEXT-0029,Одеяло детское байковое 100×140,Текстиль,Сатин,169000
TEXT-0030,Подушка для стула 40×40,Текстиль,Ладный дом,59000
POSU-0005,Кастрюля эмалированная 3 л,Посуда,Кухмастер,168990
POSU-0006,Ковш нержавеющий с крышкой 1.5 л,Посуда,Кухмастер,138990
POSU-0007,Сотейник литой с крышкой 28 см,Посуда,Кухмастер,269000
POSU-0008,Сковорода блинная 22 см,Посуда,Кухмастер,149000
POSU-0009,Казан алюминиевый 6 л,Посуда,Кухмастер,299000
POSU-0010,Форма для запекания стеклянная 2.4 л,Посуда,Кухмастер,118990
POSU-0011,Противень стальной 37×27,Посуда,Кухмастер,79000
POSU-0012,Набор форм для выпечки 3 штуки,Посуда,Кухмастер,139000
POSU-0013,Миска нержавеющая 24 см,Посуда,Кухмастер,68990
POSU-0014,Дуршлаг стальной с ручками 22 см,Посуда,Кухмастер,89000
POSU-0015,Тёрка четырёхгранная 23 см,Посуда,Кухмастер,49000
POSU-0016,Доска разделочная бамбуковая 35×25,Посуда,Кухмастер,78990
POSU-0017,Набор ножей с подставкой 6 предметов,Посуда,Кухмастер,248990
POSU-0018,Половник и шумовка 2 предмета,Посуда,Кухмастер,58990
POSU-0019,Контейнеры пищевые 7 предметов,Посуда,Кухмастер,99000
POSU-0020,Банки для сыпучих продуктов 4 штуки,Посуда,Ладья,138990
POSU-0021,Тарелки обеденные фарфоровые 6 штук,Посуда,Ладья,178999
POSU-0022,Тарелки суповые керамические 4 штуки,Посуда,Ладья,129000
POSU-0023,Салатник стеклянный 23 см,Посуда,Ладья,68999
POSU-0024,Кружки керамические 350 мл 4 штуки,Посуда,Ладья,118990
POSU-0025,Стаканы высокие 400 мл 6 штук,Посуда,Ладья,98990
POSU-0026,Бокалы для воды 300 мл 6 штук,Посуда,Ладья,149000
POSU-0027,Термос стальной 1 л,Посуда,Ладья,179000
POSU-0028,Термокружка с крышкой 450 мл,Посуда,Ладья,99000
POSU-0029,Сахарница фарфоровая 400 мл,Посуда,Ладья,59000
POSU-0030,Маслёнка стеклянная с крышкой,Посуда,Ладья,68990
TECH-0005,Миксер ручной 500 Вт,Бытовая техника,Электрон,248990
TECH-0006,Измельчитель с чашей 1.5 л,Бытовая техника,Электрон,298990
TECH-0007,Стационарный блендер 1.8 л,Бытовая техника,Электрон,549000
TECH-0008,Мясорубка электрическая 1800 Вт,Бытовая техника,Электрон,799000
TECH-0009,Тостер на 2 ломтика 850 Вт,Бытовая техника,Электрон,299000
TECH-0010,Вафельница электрическая 1000 Вт,Бытовая техника,Электрон,348999
TECH-0011,Мультиварка с чашей 5 л,Бытовая техника,Электрон,699000
TECH-0012,Электроплитка на 1 конфорку 1500 Вт,Бытовая техника,Электрон,249000
TECH-0013,Мини-печь с грилем 30 л,Бытовая техника,Электрон,899000
TECH-0014,Микроволновая печь 20 л,Бытовая техника,Электрон,999000
TECH-0015,Сушилка для овощей 5 поддонов,Бытовая техника,Электрон,499000
TECH-0016,Кофемолка электрическая 200 Вт,Бытовая техника,Электрон,199000
TECH-0017,Капельная кофеварка 1.2 л,Бытовая техника,Электрон,399000
TECH-0018,Соковыжималка шнековая 150 Вт,Бытовая техника,Электрон,799000
TECH-0019,Утюг паровой 2400 Вт,Бытовая техника,Электрон,349000
TECH-0020,Швейная машина 12 операций,Бытовая техника,Электрон,1299000
TECH-0021,Пылесос контейнерный 2000 Вт,Бытовая техника,Электрон,1099000
TECH-0022,Пылесос вертикальный аккумуляторный,Бытовая техника,Электрон,1499000
TECH-0023,Электровеник с контейнером 0.5 л,Бытовая техника,Электрон,699000
TECH-0024,Фен с диффузором 2200 Вт,Бытовая техника,Электрон,299000
TECH-0025,Щипцы для волос 45 Вт,Бытовая техника,Электрон,249000
TECH-0026,Машинка для стрижки с 6 насадками,Бытовая техника,Электрон,399000
TECH-0027,Весы напольные до 180 кг,Бытовая техника,Электрон,198990
TECH-0028,Весы кухонные до 5 кг,Бытовая техника,Электрон,148990
TECH-0029,Увлажнитель воздуха 3 л,Бытовая техника,Электрон,499000
TECH-0030,Тепловентилятор керамический 1500 Вт,Бытовая техника,Электрон,398990
KIDS-0004,Кроватка кукольная деревянная 45 см,Детские товары,Малышок,248999
KIDS-0005,Манеж складной 100×100,Детские товары,Малышок,798990
KIDS-0006,Горшок детский со спинкой,Детские товары,Малышок,79000
KIDS-0007,Ванночка детская 84 см,Детские товары,Малышок,168990
KIDS-0008,Подставка детская двухступенчатая,Детские товары,Малышок,89000
KIDS-0009,Накладка на унитаз с ручками,Детские товары,Малышок,69000
KIDS-0010,Сиденье для купания на присосках,Детские товары,Малышок,138990
KIDS-0011,Пелёнки муслиновые 80×100 3 штуки,Детские товары,Малышок,129000
KIDS-0012,Одеяло для коляски 90×110,Детские товары,Малышок,148990
KIDS-0013,Нагрудники непромокаемые 5 штук,Детские товары,Малышок,58999
KIDS-0014,Бутылочка с ручками 250 мл,Детские товары,Малышок,49000
KIDS-0015,Поильник непроливайка 300 мл,Детские товары,Малышок,54990
KIDS-0016,Контейнер для пустышки 2 штуки,Детские товары,Малышок,25000
KIDS-0017,Погремушки мягкие 3 штуки,Детские товары,Малышок,59000
KIDS-0018,Кубики развивающие 12 штук,Детские товары,Малышок,89000
KIDS-0019,Пирамидка деревянная 8 колец,Детские товары,Малышок,78990
KIDS-0020,Сортер с геометрическими фигурами,Детские товары,Малышок,98990
KIDS-0021,Конструктор деревянный 50 деталей,Детские товары,Малышок,139000
KIDS-0022,Доска для рисования магнитная 30×40,Детские товары,Малышок,128990
KIDS-0023,Мольберт детский двусторонний 105 см,Детские товары,Малышок,298999
KIDS-0024,Набор для лепки 12 цветов,Детские товары,Малышок,69000
KIDS-0025,Коврик игровой складной 180×150,Детские товары,Малышок,399000
KIDS-0026,Палатка игровая с окошками,Детские товары,Малышок,199000
KIDS-0027,Каталка с ручкой и звуком,Детские товары,Малышок,169000
KIDS-0028,Самокат трёхколёсный до 50 кг,Детские товары,Малышок,298999
KIDS-0029,Санки со спинкой и ремнём,Детские товары,Малышок,349000
KIDS-0030,Рюкзак детский объёмом 8 л,Детские товары,Малышок,128990
WEAR-0004,Футболка хлопковая размер 48,Одежда и обувь,Сатин,78990
WEAR-0005,Майка хлопковая размер 46,Одежда и обувь,Сатин,58990
WEAR-0006,Лонгслив трикотажный размер 50,Одежда и обувь,Сатин,108990
WEAR-0007,Водолазка хлопковая размер 44,Одежда и обувь,Сатин,118990
WEAR-0008,Толстовка с капюшоном размер 52,Одежда и обувь,Сатин,198999
WEAR-0009,Брюки спортивные размер 50,Одежда и обувь,Сатин,169000
WEAR-0010,Легинсы хлопковые размер 46,Одежда и обувь,Сатин,98990
WEAR-0011,Пижама трикотажная размер 48,Одежда и обувь,Сатин,179000
WEAR-0012,Ночная сорочка хлопковая размер 50,Одежда и обувь,Сатин,128999
WEAR-0013,Фартук рабочий с тремя карманами,Одежда и обувь,Сатин,79000
WEAR-0014,Перчатки хозяйственные 3 пары,Одежда и обувь,Ходики,39000
WEAR-0015,Варежки вязаные размер 8,Одежда и обувь,Ходики,68990
WEAR-0016,Шапка вязаная с отворотом размер 56,Одежда и обувь,Ходики,88990
WEAR-0017,Шарф шерстяной 30×180,Одежда и обувь,Ходики,119000
WEAR-0018,Ремень текстильный длиной 120 см,Одежда и обувь,Ходики,78990
WEAR-0019,Стельки войлочные 2 пары,Одежда и обувь,Ходики,38990
WEAR-0020,Шнурки круглые 120 см 3 пары,Одежда и обувь,Ходики,25000
WEAR-0021,Кеды текстильные размер 42,Одежда и обувь,Ходики,179000
WEAR-0022,Кроссовки прогулочные размер 39,Одежда и обувь,Ходики,248990
WEAR-0023,Ботинки утеплённые размер 41,Одежда и обувь,Ходики,348990
WEAR-0024,Сапоги резиновые размер 40,Одежда и обувь,Ходики,199000
WEAR-0025,Полуботинки кожаные размер 43,Одежда и обувь,Ходики,398999
WEAR-0026,Сандалии с ремешками размер 38,Одежда и обувь,Ходики,189000
WEAR-0027,Сланцы резиновые размер 41,Одежда и обувь,Ходики,79000
WEAR-0028,Балетки текстильные размер 37,Одежда и обувь,Ходики,149000
WEAR-0029,Туфли домашние утеплённые размер 39,Одежда и обувь,Ходики,129000
WEAR-0030,Галоши садовые размер 42,Одежда и обувь,Ходики,98990
